"BusinessYear","StateCode","IssuerId","SourceName","VersionNum","ImportDate","IssuerId2","StateCode2","NetworkName","NetworkId","NetworkURL","RowNumber","MarketCoverage","DentalOnly"
"2015","GA","89942","HIOS","7","2015-02-19 06:21:02","89942","GA","Kaiser Permanente HMO","GAN001","kp.org/gaprovider","13",,
"2015","GA","93332","HIOS","10","2014-09-29 21:43:29","93332","GA","Atlanta HMOx","GAN001","https://www.humana.com/finder/search?customerId=1059&pfpkey=804","13",,
"2015","GA","93332","HIOS","10","2014-09-29 21:43:29","93332","GA","Columbus, GA HMOx","GAN002","https://www.humana.com/finder/search?customerId=1059&pfpkey=758","14",,
"2015","GA","93332","HIOS","10","2014-09-29 21:43:29","93332","GA","Savannah HMOx","GAN003","https://www.humana.com/finder/search?customerId=1059&pfpkey=805","15",,
"2015","GA","93332","HIOS","10","2014-09-29 21:43:29","93332","GA","Macon HMOx","GAN005","https://www.humana.com/finder/search?customerId=1059&pfpkey=925","16",,
"2015","GA","93332","HIOS","10","2014-09-29 21:43:29","93332","GA","National POS - Open Access","GAN004","https://www.humana.com/finder/search?customerId=1059&pfpkey=319","17",,
"2015","GA","98239","HIOS","4","2014-09-06 03:39:47","98239","GA","Careington Maximum Care Network","GAN001","www.careington.com/co/maxcare","13",,
"2015","IN","10064","HIOS","2","2014-08-08 08:53:29","10064","IN","Principal Plan Dental","INN001","http://c3.go2dental.com/member/dental_search/provsel.cgi","13",,
"2015","IN","17575","HIOS","14","2014-12-12 09:23:47","17575","IN","Pathway X HMO/POS","INN001","https://www.anthem.com/health-insurance/provider-directory/searchcriteria?alphaprefix=XPH","13",,
"2015","IN","17575","HIOS","14","2014-12-12 09:23:47","17575","IN","Pathway X HMO/POS with Dental","INN002","https://www.anthem.com/health-insurance/provider-directory/searchcriteria?alphaprefix=XPH","14",,
"2015","IN","17575","HIOS","14","2014-12-12 09:23:47","17575","IN","Pathway HMO/POS","INN003","https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs","15",,
"2015","IN","17575","HIOS","14","2014-12-12 09:23:47","17575","IN","Pathway HMO/POS with Dental","INN004","https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs","16",,
"2015","IN","17575","HIOS","14","2014-12-12 09:23:47","17575","IN","Blue Preferred HMO/POS","INN005","https://www.anthem.com/health-insurance/provider-directory/searchcriteria?alphaprefix=XPB","17",,
"2015","IN","17575","HIOS","14","2014-12-12 09:23:47","17575","IN","Blue Preferred HMO/POS with Dental","INN006","https://www.anthem.com/health-insurance/provider-directory/searchcriteria?alphaprefix=XPB","18",,
"2015","IN","17575","HIOS","14","2014-12-12 09:23:47","17575","IN","Blue Access","INN007","https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs","19",,
"2015","IN","17575","HIOS","14","2014-12-12 09:23:47","17575","IN","Blue Access with Dental","INN008","https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs","20",,
"2015","IN","17575","HIOS","14","2014-12-12 09:23:47","17575","IN","Dental Prime","INN009","http://www.geoaccess.com/awp/Dental/PO/begin.asp?Gateway=False&st=DV&Company=Anthem-BCBS&netcode=DVP","21",,
"2015","IN","20855","HIOS","9","2015-07-22 09:15:52","20855","IN","ADVANTAGE Health Solutions, Inc Network","INN001","http://www.advantageplan.com/member/shop-2015/","13",,
"2015","IN","21029","HIOS","3","2014-09-05 03:32:16","21029","IN","Assurant Dental Network","INN001","http://assurant.go2dental.com/member/dental_search/srchinp.cgi?plan_number=45&plan_state=45_","13",,
"2015","IN","28856","HIOS","1","2014-06-21 03:20:41","28856","IN","Delta Dental PPO & Premier","INN001","http://www.deltadental.com/DentistSearch/DentistSearchController.ccl","13",,
"2015","IN","28856","HIOS","1","2014-06-21 03:20:41","28856","IN","Delta Dental PPO Only","INN002","http://www.deltadental.com/DentistSearch/DentistSearchController.ccl","14",,
"2015","IN","33380","HIOS","9","2015-01-20 13:44:26","33380","IN","IU Health","INN001","http://iuhealth.cloudapp.net/iuhealth/","13",,
"2015","IN","34537","HIOS","6","2014-09-05 03:32:16","34537","IN","Careington Maximum Care Network","INN001","www.careington.com/co/maxcare","13",,
"2015","IN","35065","HIOS","10","2015-02-19 06:21:02","35065","IN","Ambetter from MHS","INN001","http://ambetter.mhsindiana.com/findadoc","13",,
