"BusinessYear","StateCode","IssuerId","SourceName","VersionNum","ImportDate","IssuerId2","StateCode2","NetworkName","NetworkId","NetworkURL","RowNumber","MarketCoverage","DentalOnlyPlan"
"2016","AK","21989","HIOS","4","2015-08-22 15:09:32","21989","AK","Delta Dental Premier","AKN001","https://www.modahealth.com/ProviderSearch/faces/webpages/home.xhtml","13",,
"2016","AK","21989","HIOS","4","2015-08-22 15:09:32","21989","AK","Delta Dental PPO","AKN002","https://www.modahealth.com/ProviderSearch/faces/webpages/home.xhtml","14",,
"2016","AK","38344","HIOS","10","2015-08-25 05:06:23","38344","AK","HeritagePlus and Dental","AKN001","https://premera.vitalschoice.com/#/?ci=premeraak&network_id=4","13",,
"2016","AK","38344","HIOS","10","2015-08-25 05:06:23","38344","AK","Dental","AKN002","https://premera.vitalschoice.com/#/?ci=premeraak&network_id=7","14",,
"2016","AK","38344","HIOS","10","2015-08-25 05:06:23","38344","AK","HeritagePlus","AKN003","https://premera.vitalschoice.com/#/?ci=premeraak&network_id=4","15",,
"2016","AK","45858","HIOS","1","2015-05-01 02:23:41","45858","AK","Ameritas PPO Dental Network","AKN001","www.ameritas.com","13",,
"2016","AK","47904","HIOS","2","2015-07-10 02:19:03","47904","AK","Renaissance Dental","AKN001","www.renaissancedental.com/Find-a-Dentist","13",,
"2016","AK","47904","HIOS","2","2015-07-10 02:19:03","47904","AK","Delta Dental","AKN002","http://www.deltadental.com/DentistSearch/DentistSearchController.ccl","14",,
"2016","AK","58670","HIOS","2","2015-07-08 02:47:08","58670","AK","Indemnity","AKN001","Indemnity","13",,
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","AK","Endeavor Providence","AKN002","https://www.modahealth.com/ProviderSearch/faces/webpages/home.xhtml","13",,
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","AK","Endeavor Select","AKN001","https://www.modahealth.com/ProviderSearch/faces/webpages/home.xhtml","14",,
"2016","AK","74819","HIOS","3","2015-08-27 11:14:25","74819","AK","BEST Life Nationwide","AKN001","https://www.bestlife.com/exchange/provider.html","13",,
"2016","AK","81761","HIOS","1","2015-05-01 02:23:41","81761","AK","Ameritas PPO Dental Network","AKN001","www.reliancestandard.com","13",,
"2016","AK","84394","HIOS","2","2015-07-10 02:19:03","84394","AK","Principal Plan Dental","AKN001","http://c3.go2dental.com/member/dental_search/provsel.cgi","13",,
"2016","AK","84859","HIOS","1","2015-05-01 02:23:41","84859","AK","Ameritas PPO Dental Network","AKN001","www.standard.com","13",,
"2016","AL","12538","HIOS","3","2015-08-27 11:14:25","12538","AL","BEST Life Nationwide","ALN001","https://www.bestlife.com/exchange/provider.html","13",,
"2016","AL","17017","HIOS","3","2015-08-18 03:25:03","17017","AL","Combined Dental Network","ALN001","www.dentemax.com; www.stratose.com/find-a-provider","13",,
"2016","AL","17540","HIOS","2","2015-05-09 02:20:02","17540","AL","DentalGuard Preferred","ALN001","https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process","13",,
"2016","AL","18756","HIOS","3","2015-07-09 13:17:42","18756","AL","Preferred Dentist Program-PDP PLUS","ALN001","https://metlocator.metlife.com/metlocator/execute/Search?","13",,
"2016","AL","28725","HIOS","2","2015-07-11 04:19:24","28725","AL","Renaissance Dental","ALN001","www.renaissancedental.com/Find-a-Dentist","13",,
"2016","AL","28725","HIOS","2","2015-07-11 04:19:24","28725","AL","Delta Dental","ALN002","http://www.deltadental.com/DentistSearch/DentistSearchController.ccl","14",,
"2016","AL","28732","HIOS","1","2015-05-01 02:23:41","28732","AL","Ameritas PPO Dental Network","ALN001","www.reliancestandard.com","13",,
"2016","AL","28899","HIOS","1","2015-05-01 02:23:41","28899","AL","Ameritas PPO Dental Network","ALN001","www.ameritas.com","13",,
"2016","AL","39951","HIOS","2","2015-07-09 13:17:42","39951","AL","Assurant Dental Networks","ALN001","http://assurant.go2dental.com/member/dental_search/srchinp.cgi?plan_number=45&plan_state=45_","13",,
"2016","AL","44580","HIOS","8","2015-08-22 15:09:32","44580","AL","Birmingham PPOx","ALN001","https://www.humana.com/finder/search?customerId=1059&pfpkey=808","13",,
"2016","AL","44580","HIOS","8","2015-08-22 15:09:32","44580","AL","Huntsville PPOx","ALN002","https://www.humana.com/finder/search?customerId=1059&pfpkey=809","14",,
"2016","AL","44580","HIOS","8","2015-08-22 15:09:32","44580","AL","HumanaDental PPO/Traditional Preferred","ALN003","https://www.humana.com/finder/search?customerID=1085&pfpkey=317","15",,
"2016","AL","44580","HIOS","8","2015-08-22 15:09:32","44580","AL","Humana/ChoiceCare Network PPO","ALN004","https://www.humana.com/finder/search?customerId=1059&pfpkey=124","16",,
"2016","AL","44785","HIOS","4","2015-08-22 15:09:32","44785","AL","Advantage Plus","ALN001","https://www.unitedconcordia.com/find-a-dentist/?network=1","13",,
"2016","AL","44785","HIOS","4","2015-08-22 15:09:32","44785","AL","Alliance","ALN002","https://www.unitedconcordia.com/find-a-dentist/?network=2","14",,
"2016","AL","44785","HIOS","4","2015-08-22 15:09:32","44785","AL","Advantage Plus 2.0","ALN003","https://www.unitedconcordia.com/find-a-dentist/?network=30","15",,
"2016","AL","46944","HIOS","5","2015-10-21 05:00:18","46944","AL","BCBSAL PPO","ALN001","https://www.bcbsal.org/webapps/providerfinderplus","13",,
"2016","AL","46944","HIOS","5","2015-10-21 05:00:18","46944","AL","BCBSAL Dental","ALN002","https://www.bcbsal.org/webapps/providerfinderplus","14",,
"2016","AL","60075","HIOS","6","2015-10-20 04:38:50","60075","AL","DenteMax","ALN001","https://www.truassure.com/find-a-provider","13",,
"2016","AL","68259","HIOS","6","2015-08-26 09:56:12","68259","AL","AL IEX Choice","ALN001","http://www.uhc.com/find-a-physician/xalchoice","13",,
"2016","AL","68259","HIOS","6","2015-08-26 09:56:12","68259","AL","AL IEX Compass","ALN002","http://www.uhc.com/find-a-physician/xalcompass","14",,
"2016","AL","68707","HIOS","1","2015-05-01 02:23:41","68707","AL","Ameritas PPO Dental Network","ALN001","www.standard.com","13",,
"2016","AL","77233","HIOS","9","2015-10-21 05:00:18","77233","AL","Dentegra Dental PPO","ALN001","www.dentegra.com/find-a-dentist","13",,
"2016","AL","82285","HIOS","5","2015-07-10 02:19:03","82285","AL","Delta Dental PPO","ALN001","www.deltadentalins.com/find-a-dentist","13",,
"2016","AZ","12303","HIOS","3","2015-07-11 04:19:24","12303","AZ","DSM USA Insurance Company","AZN001","https://govservices.dentaquest.com/Router.jsp?component=Main&source=Logon&action=ProviderDirectory2&state=AZ&locale=en","13",,
