"BusinessYear","StateCode","IssuerId","SourceName","VersionNum","ImportDate","IssuerId2","StateCode2","ServiceAreaId","ServiceAreaName","CoverEntireState","County","PartialCounty","ZipCodes","PartialCountyJustification","RowNumber","MarketCoverage","DentalOnly"
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42049","No",,,"35",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42051","No",,,"36",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42055","No",,,"37",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42059","No",,,"38",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42061","No",,,"39",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42063","No",,,"40",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42065","No",,,"41",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42067","No",,,"42",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42069","No",,,"43",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42071","No",,,"44",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42073","No",,,"45",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42075","No",,,"46",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42077","No",,,"47",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42079","No",,,"48",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42081","No",,,"49",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42083","No",,,"50",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42085","No",,,"51",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42089","No",,,"52",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42091","No",,,"53",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42093","No",,,"54",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42095","No",,,"55",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42097","No",,,"56",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42099","No",,,"57",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42101","No",,,"58",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42103","No",,,"59",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42107","No",,,"60",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42109","No",,,"61",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42111","No",,,"62",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42113","No",,,"63",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42115","No",,,"64",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42117","No",,,"65",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42119","No",,,"66",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42121","No",,,"67",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42123","No",,,"68",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42125","No",,,"69",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42127","No",,,"70",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42129","No",,,"71",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42131","No",,,"72",,
"2015","PA","70406","HIOS","2","2014-08-05 13:28:44","70406","PA","PAS001","Pennsylvania","No","42133","No",,,"73",,
"2015","PA","70533","HIOS","3","2014-09-04 03:25:43","70533","PA","PAS001","Pennsylvania Service Area","No","42003","No",,,"13",,
"2015","PA","70533","HIOS","3","2014-09-04 03:25:43","70533","PA","PAS001","Pennsylvania Service Area","No","42005","No",,,"14",,
"2015","PA","70533","HIOS","3","2014-09-04 03:25:43","70533","PA","PAS001","Pennsylvania Service Area","No","42007","No",,,"15",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42001","No",,,"13",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42003","No",,,"14",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42005","No",,,"15",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42007","No",,,"16",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42009","No",,,"17",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42011","No",,,"18",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42013","No",,,"19",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42017","No",,,"20",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42019","No",,,"21",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42021","No",,,"22",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42025","No",,,"23",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42027","No",,,"24",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42029","No",,,"25",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42031","No",,,"26",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42033","No",,,"27",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42035","No",,,"28",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42037","No",,,"29",,
"2015","PA","72299","HIOS","9","2015-01-16 17:32:32","72299","PA","PAS001","Pennsylvania","No","42039","No",,,"30",,
